401.9,20053
38.93,14444
428.0,12842
427.31,12594
414.01,12179
96.04,9932
96.6,9161
584.9,8907
250.00,8784
96.71,8619
272.4,8504
518.81,7249
99.04,7147
39.61,6809
599.0,6442
530.81,6156
96.72,5926
272.0,5766
285.9,5296
88.56,5240
244.9,4788
486,4733
38.91,4575
285.1,4499
36.15,4390
276.2,4358
496,4296
99.15,4172
995.92,3792
V58.61,3698
507.0,3592
389,3580
88.72,3500
585.9,3367
403.90,3350
311,3349
305.1,3272
37.22,3248
412,3216
33.24,3188
39.95,3178
287.5,3002
410.71,3001
276.1,2985
V45.81,2943
424.0,2878
45.13,2849
V15.82,2741
511.9,2693
93.90,2663
